State,District,Population,active_infs,new_infs,gamma,gamma_d,beta,delta,repr_ratio
Maharashtra,Yavatmal,3089185,518.2857143,85.28571429,0.110187255,0.001209135,0.149567154,0.495,1.357390681
Karnataka,Yadgir,1412778,948.8367347,110.8571429,0.060830364,0.000935041,0.100662285,0.49,1.654803263
Andhra_Pradesh,Y.S.R._Kadapa,3160870,6064.387755,481.5714286,0.096125727,0.001040282,0.095246322,0.325,0.990851513
Tripura,West_Tripura,1919859,722.5918367,53.85714286,0.066358532,0.001512024,0.064658227,0.495,0.974377005
Andhra_Pradesh,West_Godavari,4061068,4347.22449,776.4285714,0.153108909,0.001708722,0.165553048,0.495,1.081276385
Bihar,West_Champaran,4958749,715.6326531,100.1428571,0.110398426,0.000661011,0.168240253,0.495,1.523937069
Andhra_Pradesh,Vizianagaram,2433613,5488.102041,546.7142857,0.06550169,0.000924512,0.100912198,0.465,1.540604484
Andhra_Pradesh,Visakhapatnam,4749686,8019.428571,759.2857143,0.124811317,0.000818749,0.084450187,0.495,0.676622832
Tamil_Nadu,Virudhunagar,2131921,1620,173.8571429,0.164781931,0.001509401,0.11466294,0.355,0.695846561
Tamil_Nadu,Viluppuram,3978908,595.0204082,102.5714286,0.125583696,0.001076196,0.097306015,0.3,0.77483
Karnataka,Vijayapura,2575205,988.3877551,148,0.147732327,0.002405622,0.150295338,0.495,1.017349023
Tamil_Nadu,Vellore,4401028,1254.306122,163.2857143,0.113262895,0.002384009,0.106979076,0.435,0.944520053
Uttar_Pradesh,Varanasi,4239659,2216.77551,155.8571429,0.070737023,0.00168475,0.096650264,0.165,1.366332093
Bihar,Vaishali,4381971,1082.571429,80.28571429,0.108355456,0.000892418,0.114117907,0.495,1.053180991
Gujarat,Vadodara,4701190,1189,110,0.069605104,0.001246616,0.08434056,0.495,1.211700804
Karnataka,Uttara_Kannada,1516739,897.7142857,71,0.088600461,0.000953389,0.109137706,0.495,1.231796146
Karnataka,Udupi,1239220,2668.367347,253.4285714,0.08384786,0.001094263,0.108875129,0.495,1.298484295
Uttarakhand,Udham_Singh_Nagar,2137842,948.1428571,74.42857143,0.046108698,0.00049806,0.044763952,0.495,0.970835303
Karnataka,Tumakuru,2766758,1296.469388,129.7142857,0.070537644,0.002675211,0.085911639,0.145,1.217954471
Tamil_Nadu,Tiruvannamalai,2746014,1893.428571,126.8571429,0.064561758,0.002114027,0.053175893,0.08,0.82364381
Tamil_Nadu,Tirunelveli,3457579,1964.367347,134.8571429,0.103976315,0.002837887,0.065616468,0.495,0.631071296
Tamil_Nadu,Tiruchirappalli,3028346,1086.204082,105.4285714,0.114394771,0.00096831,0.079158721,0.495,0.691978494
Assam,Tinsukia,1511412,953.7959184,194.7142857,0.063282432,0.000667502,0.184101719,0.495,2.909207399
Tamil_Nadu,Thoothukkudi,1905099,1683.918367,115,0.134378163,0.00122888,0.091822255,0.32,0.683312323
Tamil_Nadu,Thiruvallur,1356153,3591.673469,408.1428571,0.101745915,0.001652792,0.10786225,0.11,1.060113816
Kerala,Thiruva0thapuram,3362979,3208.673469,335.2857143,0.061551762,0.000428089,0.068307861,0.365,1.109762878
Tamil_Nadu,Theni,1400617,2946.816327,287.2857143,0.1108161,0.000952984,0.121710315,0.495,1.098308951
Tamil_Nadu,Thanjavur,2590519,1155.938776,114.1428571,0.126757811,0.002855116,0.1267324,0.105,0.999799526
Maharashtra,Thane,14587316,21941.7551,1287,0.061718993,0.001475671,0.022303903,0.36,0.361378272
Gujarat,Surat,8350343,3213.387755,241.2857143,0.093755399,0.002614915,0.072529038,0.135,0.77359852
Odisha,Sundargarh,2362022,824.877551,126.5714286,0.10556169,0.000874262,0.163879642,0.13,1.55245376
Andhra_Pradesh,Srikakulam,2861294,4527.428571,536,0.093809962,0.001033841,0.113941696,0.445,1.214601241
West_Bengal,South_24_Parganas,9485640,1818.77551,220,0.108236511,0.001595804,0.146581955,0.42,1.354274581
Haryana,Sonipat,1623165,352.7755102,37.42857143,0.10721806,0.00090157,0.138157417,0.21,1.288564785
Maharashtra,Solapur,4787647,4578.204082,369.7142857,0.081975601,0.001784365,0.100453856,0.09,1.225411639
Bihar,Siwan,4003684,611.0204082,55,0.101061344,0.000585004,0.114243325,0.495,1.130435447
Tamil_Nadu,Sivaganga,1529329,431.9591837,62.57142857,0.142521339,0.005087059,0.133310312,0.085,0.935370892
Karnataka,Shivamogga,1858248,1412.367347,130,0.057917454,0.001632279,0.059085841,0.41,1.020173323
Uttar_Pradesh,Shahjahanpur,3595030,850.122449,67.85714286,0.064189046,0.00135782,0.076710498,0.475,1.195071472
Maharashtra,Satara,3190531,2071.387755,243.8571429,0.078401563,0.002943058,0.122585954,0.105,1.563565186
Bihar,Saran,4713945,958.8163265,106.4285714,0.107632173,0.000545424,0.142300077,0.25,1.322096102
