State,District,Population,active_infs,new_infs,gamma,gamma_d,beta,delta,repr_ratio
Maharashtra,Yavatmal,3089185,47.75510204,3.714285714,0.068989493,0.003757326,0.116042001,0.495,1.682024272
Karnataka,Yadgir,1412778,513.7959184,26.57142857,0.066050929,3.01E-05,0.111780746,0.49,1.692341764
Andhra_Pradesh,Y.S.R._Kadapa,3160870,80.20408163,12.71428571,0.057420614,0.000229288,0.207116781,0.325,3.607010903
Tripura,West_Tripura,1919859,62.67346939,3.857142857,0.066358532,0.001512024,0.093764216,0.495,1.412994137
Andhra_Pradesh,West_Godavari,4061068,173.755102,14.57142857,0.024527774,0.000479948,0.111672988,0.495,4.552919783
Bihar,West_Champaran,4958749,44.79591837,5.142857143,0.107089346,0.000661011,0.123432355,0.495,1.152610971
Andhra_Pradesh,Vizianagaram,2433613,35.18367347,4.142857143,0.05048105,0.002488176,0.141873645,0.465,2.810433727
Andhra_Pradesh,Visakhapatnam,4749686,73.7755102,11.42857143,0.100313718,0.00070035,0.21238378,0.495,2.117195776
Tamil_Nadu,Virudhunagar,2131921,33.71428571,4.857142857,0.098913574,0.000348518,0.095730098,0.355,0.96781558
Tamil_Nadu,Viluppuram,3978908,58.63265306,10.42857143,0.109962076,0.001700859,0.154592286,0.3,1.405869105
Karnataka,Vijayapura,2575205,80.3877551,4.571428571,0.162588334,0.002559054,0.108278498,0.495,0.6659672
Tamil_Nadu,Vellore,4401028,67.10204082,9.714285714,0.054959542,0.000321682,0.22137467,0.435,4.027956937
Uttar_Pradesh,Varanasi,4239659,100.1632653,6.571428571,0.065757866,0.003247302,0.061457831,0.165,0.934608048
Bihar,Vaishali,4381971,41.16326531,2.428571429,0.090172795,0.000892418,0.034386285,0.495,0.381337689
Gujarat,Vadodara,4701190,486.8571429,39.71428571,0.065135883,0.000623484,0.080229442,0.495,1.231724191
Karnataka,Uttara_Kannada,1516739,24,3.428571429,0.067604091,0.001459267,0.028749453,0.495,0.425262034
Karnataka,Udupi,1239220,597.3265306,12.57142857,0.090357234,0.000194597,-0.019189029,0.495,-0.212368483
Uttarakhand,Udham_Singh_Nagar,2137842,28.83673469,4.428571429,0.081070982,0.00049806,0.047759507,0.495,0.589107299
Karnataka,Tumakuru,2766758,7.387755102,1.142857143,0.049117959,0.004894509,0.083509108,0.145,1.700174628
Tamil_Nadu,Tiruvannamalai,2746014,237.0204082,35.14285714,0.090505447,0.000697303,0.096934919,0.08,1.071039619
Tamil_Nadu,Tirunelveli,3457579,60.57142857,15.28571429,0.071997511,0.000791332,0.128822524,0.495,1.78926357
Tamil_Nadu,Tiruchirappalli,3028346,31.26530612,7.285714286,0.100449084,0.00113492,0.220346109,0.495,2.193609944
Assam,Tinsukia,1511412,86.69387755,0,0.063282432,0.000667502,0.116560146,0.495,1.841903712
Tamil_Nadu,Thoothukkudi,1905099,136.9591837,10.28571429,0.100495819,0.000523427,0.121838609,0.32,1.212374908
Tamil_Nadu,Thiruvallur,1356153,771.7959184,67,0.057625001,0.001605612,0.125085847,0.11,2.170687137
Kerala,Thiruva0thapuram,3362979,63.69387755,2.285714286,0.066951586,0.002232084,0.028750749,0.365,0.429425963
Tamil_Nadu,Theni,1400617,24.34693878,5.142857143,0.04936834,0.000891977,0.135915776,0.495,2.753095923
Tamil_Nadu,Thanjavur,2590519,38.7755102,6.571428571,0.070637358,0.000474384,0.179129252,0.105,2.535899671
Maharashtra,Thane,14587316,8812.285714,752.1428571,0.042882924,0.002256975,0.083744877,0.36,1.952872342
Gujarat,Surat,8350343,667.1836735,72.28571429,0.097562227,0.003864807,0.104684904,0.135,1.07300651
Odisha,Sundargarh,2362022,41.7755102,2,0.129312943,0.001491871,0.081374753,0.13,0.629285442
Andhra_Pradesh,Srikakulam,2861294,22.10204082,3.142857143,0.047130824,0.004629346,0.090386118,0.445,1.917770776
West_Bengal,South_24_Parganas,9485640,204.4693878,22.42857143,0.056725584,0.003767767,0.1073806,0.42,1.892983614
Haryana,Sonipat,1623165,266.5510204,22.42857143,0.085769356,0.001590593,0.141816133,0.21,1.653459232
Maharashtra,Solapur,4787647,770.5102041,69.57142857,0.022116704,0.008629144,0.066195376,0.09,2.993003707
Bihar,Siwan,4003684,113.1632653,15.28571429,0.084099586,0.000585004,0.141934216,0.495,1.687692197
Tamil_Nadu,Sivaganga,1529329,16,1.857142857,0.087520114,0.003816298,0.241854068,0.085,2.763411262
Karnataka,Shivamogga,1858248,41.75510204,4,0.054436075,0.00251302,0.073297689,0.41,1.346491074
Uttar_Pradesh,Shahjahanpur,3595030,32.55102041,3.285714286,0.072770052,0.00135782,0.132043206,0.475,1.814526742
Maharashtra,Satara,3190531,291.8163265,14.57142857,0.063417767,0.003808794,0.040041405,0.105,0.63139096
Bihar,Saran,4713945,71.63265306,7.428571429,0.088492124,0.001965398,0.101629149,0.25,1.148454182
Maharashtra,Sangli,3055687,80.55102041,10.71428571,0.068825165,0.002999403,0.127544879,0.08,1.85317215
Bihar,Samastipur,5229372,73.48979592,5.857142857,0.097804268,0.000792871,0.143080368,0.495,1.462925598
Tamil_Nadu,Salem,3962368,55.36734694,2.857142857,0.04931291,0,-0.072889158,0.46,-1.478094845
Bihar,Saharsa,2340509,44.85714286,3.428571429,0.105372015,7.06E-05,0.156006337,0.495,1.480529124
Uttar_Pradesh,Saharanpur,4074084,43.51020408,3.857142857,0.068740039,2.86E-05,0.068135716,0.435,0.991208583
Andhra_Pradesh,S.P.S._Nellore,3256832,154.7755102,10.14285714,0.052622736,0.000289671,0.099150998,0.185,1.884185534
Bihar,Rohtas,3490729,61.06122449,4.285714286,0.113389638,0.000996743,0.102723173,0.26,0.905930864
Haryana,Rewari,1042054,52.42857143,7.428571429,0.041693413,0.000723063,0.150565978,0.495,3.611265315
Maharashtra,Ratnagiri,1544901,160.877551,9.571428571,0.066634186,0.003559608,0.017831527,0.08,0.267603287
Jharkhand,Ranchi,3536714,27.32653061,4.428571429,0.034860238,0.001672723,0.100778224,0.495,2.890921835
Uttar_Pradesh,Rampur,2781652,59.04081633,6.714285714,0.079682922,0.001120282,0.150376048,0.495,1.887180408
Tamil_Nadu,Ramanathapuram,1522413,53.02040816,5.428571429,0.057793437,0.001268229,0.181996403,0.305,3.149084293
Karnataka,Ramanagara,1131764,8.775510204,2.857142857,0.075259732,0.000732333,0.263099666,0.095,3.495888959
Gujarat,Rajkot,4483728,53.73469388,4.857142857,0.054929439,0.002691776,0.094849568,0.35,1.726752897
Chhattisgarh,Raipur,5313458,79.14285714,7.857142857,0.085036116,0.000878861,0.207668164,0.47,2.442117216
Maharashtra,Raigad,3087777,582.4693878,67.42857143,0.071565823,0.004828038,0.071733243,0.355,1.002339386
Karnataka,Raichur,2196148,289.8571429,7.142857143,0.027747215,0.000327024,0.028745438,0.285,1.035975604
Bihar,Purnia,4086253,119.8367347,13.71428571,0.066404836,0.000248564,0.109579752,0.375,1.650177282
Odisha,Puri,1896950,29.71428571,8.857142857,0.093253037,0.000723013,0.249817835,0.495,2.678924373
West_Bengal,Purba_Medinipur,5795189,89.32653061,9.571428571,0.054176348,0.00128289,0.100817576,0.46,1.860914972
Maharashtra,Pune,11971755,4105.591837,402.1428571,0.056390945,0.003523069,0.108492014,0.105,1.923926148
Tamil_Nadu,Pudukkottai,1775923,17.93877551,3.142857143,0.07609682,0.00306609,0.175801793,0.27,2.310238356
Puducherry,Puducherry,1196990,78.46938776,11,0.080263298,0.007019256,0.132819198,0.09,1.654793677
Uttar_Pradesh,Prayagraj,7047792,40.59183673,3.714285714,0.095606692,0.005394028,0.073923752,0.44,0.773206876
Andhra_Pradesh,Prakasam,3733488,17.95918367,2.428571429,0.065793198,0.00096063,0.066658739,0.26,1.01315548
Bihar,Patna,7071903,104.3061224,6.285714286,0.065217908,0.000543724,0.110612984,0.495,1.696052306
Punjab,Patiala,2227327,27.7755102,5.571428571,0.071737422,0.002491243,0.157628783,0.255,2.197302026
Kerala,Pathanamthitta,1165397,79.93877551,5,0.047989582,9.15E-05,0.085847241,0.08,1.788872464
Haryana,Panipat,1469296,23.87755102,2.714285714,0.083667714,0.001692089,0.134876949,0.385,1.612054905
Rajasthan,Pali,2255261,178.5510204,25.42857143,0.107432805,0.001345123,0.064951954,0.495,0.60458213
Kerala,Palakkad,2995210,172.3469388,7.285714286,0.046196041,9.25E-05,0.056516545,0.09,1.223406691
Others2,Others2,0,0,0,0,0,0,0,0
Others,Others,0,0,0,0,0,0,0,0
Maharashtra,Osmanabad,1828220,47.7755102,3.714285714,0.105054999,0.008099943,0.045040845,0.21,0.428735852
West_Bengal,North_24_Parganas,11087990,747.244898,71.85714286,0.056917732,0.002911517,0.083880463,0.495,1.47371407
Odisha,Nayagarh,1060750,22.83673469,2.714285714,0.097228046,0.000959098,0.03485784,0.085,0.358516308
Maharashtra,Nashik,7319991,487.5918367,63,0.071763091,0.006928972,0.145482639,0.335,2.027262721
Bihar,Nalanda,3426197,29.51020408,2.714285714,0.092762154,0.001377924,0.110010944,0.11,1.185946414
Maharashtra,Nagpur,5252740,347.0408163,46,0.073900886,0.000732503,0.130144818,0.19,1.761072484
Assam,Nagaon,3377084,162.7959184,14,0.062374154,0.000160626,0.145037572,0.495,2.325283193
West_Bengal,Nadia,5732669,85.32653061,10.57142857,0.101908556,0.001522294,0.122041941,0.475,1.197563238
Bihar,Muzaffarpur,6001439,86.3877551,8,0.135613488,0.001349497,0.195159126,0.495,1.439083446
West_Bengal,Murshidabad,8438930,42.97959184,4.428571429,0.115286817,0.001849315,0.173223941,0.1,1.502547695
Maharashtra,Mumbai,12875246,27122.2449,1304,0.031787419,0.002489203,0.039677866,0.495,1.248225467
Uttar_Pradesh,Moradabad,5842497,67.97959184,5.285714286,0.091864278,0.004533849,0.062146252,0.08,0.676500737
Uttar_Pradesh,Meerut,3929657,147.8571429,22.28571429,0.086317242,0.016442616,0.123879391,0.495,1.435163915
Odisha,Mayurbhanj,2820002,66.02040816,6,0.082306346,0.000411959,0.137085317,0.495,1.665549782
Karnataka,Mandya,1844483,100.9795918,1.285714286,0.084743,0,-0.008314175,0.315,-0.09811046
Kerala,Malappuram,4607416,166.122449,10,0.052318977,0.000310577,0.103557463,0.145,1.979348003
Tamil_Nadu,Madurai,3522087,103.2040816,18.71428571,0.071735271,0.00361196,0.112352726,0.21,1.566213165
Bihar,Madhubani,5505630,144.5102041,11.14285714,0.038575946,0.00015934,0.057718716,0.36,1.496235906
Punjab,Ludhiana,3978950,108.3061224,20.42857143,0.093236427,0.00255686,0.214998978,0.405,2.305954712
Uttar_Pradesh,Lucknow,5643953,149,24.71428571,0.05268665,0.002146374,0.117702399,0.08,2.234008048
Maharashtra,Latur,2847849,33.73469388,7,0.074789558,0.016841593,0.096944744,0.495,1.296233685
Uttar_Pradesh,Kushinagar,4303027,41.67346939,0.571428571,0.064822433,0.000705963,0.062973595,0.495,0.971478433
Andhra_Pradesh,Kurnool,4591225,196.7346939,45.14285714,0.062628247,0.00220635,0.167058482,0.26,2.667462216
Andhra_Pradesh,Krishna,4836115,227.3061224,31.57142857,0.035583271,0.002935581,0.112388146,0.495,3.158454602
Kerala,Kozhikode,3285453,69.48979592,6.428571429,0.054135689,0.000678745,0.11377343,0.3,2.101634483
Kerala,Kottayam,1993556,40.75510204,3.714285714,0.055922346,0.000111991,0.123354982,0.48,2.205826313
Rajasthan,Kota,2374146,68.32653061,2.428571429,0.109524584,0.003664656,0.022570285,0.35,0.206075054
Karnataka,Koppal,1591085,6.346938776,1.285714286,0.128659094,0.003066826,0.274461115,0.495,2.133243019
Kerala,Kollam,2681357,92.10204082,3.571428571,0.040384284,0.00037975,0.067401788,0.305,1.669010363
West_Bengal,Kolkata,4429215,1626.346939,132.5714286,0.047681881,0.003413171,0.092470863,0.49,1.939329157
Maharashtra,Kolhapur,4223670,215.8979592,9,0.097261681,0.001252652,0.011499093,0.435,0.118228398
Karnataka,Kolar,1684505,12.91836735,2.571428571,0.053311579,0.002541243,0.089431002,0.265,1.677515541
Odisha,Khordha,2651917,110.0612245,13.28571429,0.180881234,0.001744462,0.165210938,0.495,0.913366938
Bihar,Katihar,3844591,101.3061224,5.857142857,0.091878713,0.000224923,0.080048335,0.16,0.871239179
Tamil_Nadu,Kanyakumari,2064474,37.53061224,4,0.064732858,0.000740006,0.109723884,0.415,1.695026101
Uttar_Pradesh,Kanpur_Nagar,4988132,225.7755102,29.14285714,0.053289453,0.006576792,0.142986982,0.495,2.683213542
Kerala,Kannur,2630254,120.6938776,7,0.047776932,0.00067639,0.046183577,0.14,0.966650121
Tamil_Nadu,Kancheepuram,5375809,235.0204082,33.71428571,0.062886997,0.002085409,0.125474425,0.495,1.995236406
Assam,Kamrup_Metropolitan,1459166,198.122449,2.714285714,0.084884615,0.00037258,0.115607322,0.08,1.361934938
Assam,Kamrup,1730282,128.9591837,8.142857143,0.057247078,0.000456005,0.110290097,0.495,1.926562906
Karnataka,Kalaburagi,2978691,491.5714286,34,0.075657407,0.001636238,0.06897558,0.495,0.911683108
Rajasthan,Jodhpur,4596008,510.4693878,39.28571429,0.093943171,0.002517165,0.096540669,0.495,1.02764967
Uttar_Pradesh,Jhansi,2258291,24.48979592,2.714285714,0.063591441,0.013957524,0.14327748,0.32,2.253093774
Uttar_Pradesh,Jaunpur,5092293,179.877551,20.28571429,0.070425312,0.001211814,0.100097096,0.495,1.421322713
West_Bengal,Jalpaiguri,4353029,93.32653061,19.85714286,0.112872726,0.001429137,0.283059828,0.495,2.507778791
Maharashtra,Jalna,2340859,81.7755102,12.28571429,0.083018533,0.006914929,0.105613161,0.495,1.272163668
Maharashtra,Jalgaon,4791614,630.4489796,104.5714286,0.083710135,0.014222891,0.155661737,0.08,1.859532747
Punjab,Jalandhar,2424458,63.32653061,9.571428571,0.074802334,0.002102166,0.113300376,0.46,1.514663656
Odisha,Jajpur,2031329,46.89795918,2.142857143,0.113757314,0.000301419,0.076659239,0.48,0.673884044
Madhya_Pradesh,Jabalpur,2782697,56.32653061,5.142857143,0.095770365,0.003486099,0.105469251,0.275,1.101272307
Madhya_Pradesh,Indore,4232165,1146.632653,37.14285714,0.048308448,0.002374935,0.024448412,0.185,0.506089777
West_Bengal,Hooghly,5987089,393.4285714,13,0.070343894,0.002052919,0.088186631,0.495,1.253650118
Karnataka,Haveri,1755246,8.959183673,0.714285714,0.1054539,0.00388821,-0.028141397,0.495,-0.266859707
Karnataka,Hassan,1827184,72.10204082,4.571428571,0.077235201,0.000397046,0.029149532,0.49,0.377412526
Uttarakhand,Haridwar,2404304,103.122449,12.42857143,0.052406075,0,0.094491164,0.245,1.803057463
Madhya_Pradesh,Gwalior,2475115,95.08163265,6.571428571,0.095158394,0.000678268,0.101123047,0.26,1.062681313
Andhra_Pradesh,Guntur,5302318,166.0408163,15,0.046550862,0.000216134,0.119210924,0.16,2.560874698
Uttar_Pradesh,Gorakhpur,5146869,84.30612245,4,0.057721029,0.00309532,0.033835142,0.495,0.586183975
Uttar_Pradesh,Ghaziabad,6388981,216.2857143,20.28571429,0.077271096,0.005520714,0.140875861,0.175,1.823137855
Bihar,Gaya,5423337,76.20408163,3.571428571,0.082867664,0.002048924,0.045511393,0.13,0.549205696
Uttar_Pradesh,Gautam_Buddha_Nagar,2361277,336.6530612,53.14285714,0.068239924,0.001200714,0.135151529,0.32,1.980534583
Odisha,Ganjam,3897162,147.9183673,7,0.137891641,0.000993678,0.059191536,0.295,0.429261231
