State,District,Population,active_infs,new_infs,gamma,gamma_d,beta,delta,repr_ratio
Madhya_Pradesh,Indore,4232165,1009.836735,87.42857143,0.048308448,0.001697023,0.075695229,0.185,1.566914927
West_Bengal,Hooghly,5987089,82.3877551,3.857142857,0.056970688,0.002052919,0.178364453,0.495,3.13081094
Karnataka,Haveri,1755246,2.571428571,0.142857143,0.1054539,0.00388821,0.158568548,0.495,1.503676464
Karnataka,Hassan,1827184,0,0,0,0,0,0.49,0
Uttarakhand,Haridwar,2404304,1.857142857,0,0.052406075,0,-0.089253446,0.245,-1.703112594
Madhya_Pradesh,Gwalior,2475115,20.42857143,5.142857143,0.095158394,0.000678268,0.261007064,0.26,2.742869588
Andhra_Pradesh,Guntur,5302318,182.4081633,5,0.046550862,0.000216134,-0.012871858,0.16,-0.276511702
Uttar_Pradesh,Gorakhpur,5146869,5.428571429,1.285714286,0.054483854,0.00309532,0.176099833,0.495,3.232147128
Uttar_Pradesh,Ghaziabad,6388981,68.40816327,6.714285714,0.071164689,0.005520714,0.117569926,0.175,1.652082338
Bihar,Gaya,5423337,1.448979592,0,0.082867664,0.002048924,0.292201844,0.13,3.526126242
Uttar_Pradesh,Gautam_Buddha_Nagar,2361277,90.20408163,6.428571429,0.068239924,0.001200714,0.079018198,0.32,1.15794675
Odisha,Ganjam,3897162,148.8163265,23.85714286,0.03940239,0.000993678,0.222960441,0.295,5.65855116
Karnataka,Gadag,1155573,3.020408163,1,0.062205586,0.003471905,0.199926232,0.34,3.213959476
Haryana,Faridabad,2331927,46.06122449,7.428571429,0.0510923,0.005059042,0.12198432,0.495,2.387528454
Tamil_Nadu,Erode,2486748,0,0,0.080674495,0.00199658,0.080674495,0.08,1
Kerala,Ernakulam,3449887,1.591836735,0.142857143,0.03436328,0.000618067,0.266890627,0.1,7.766738921
Andhra_Pradesh,East_Godavari,5393020,16.63265306,0.857142857,0.036067091,0.001179578,0.021005576,0.495,0.582402837
Bihar,East_Champaran,6432169,10.40816327,0.714285714,0.057479697,0.001961907,0.067658699,0.495,1.177088664
Chhattisgarh,Durg,3910011,3.959183673,0,0.103586352,0.001645284,-0.111004681,0.495,-1.071614934
Tamil_Nadu,Dindigul,2397684,29.10204082,1.857142857,0.085763161,0.001477896,0.093950783,0.495,1.095467826
Assam,Dibrugarh,1467813,0,0,0,0,0,0.38,0
Karnataka,Dharwad,2096774,9.06122449,2,0.05728334,0.003100647,0.176564028,0.495,3.082292814
Jharkhand,Dhanbad,2972477,1.714285714,0.142857143,0.037702741,0.001699725,0.258473609,0.495,6.855565436
Uttar_Pradesh,Deoria,3495943,3.469387755,1.428571429,0.053035272,0.000969743,0.160669114,0.465,3.029476581
Delhi,Delhi,19960711,4792.714286,404.5714286,0.043901508,0.003848743,0.077841562,0.495,1.773095426
Uttarakhand,Dehradun,2183252,9.326530612,1.428571429,0.051027589,0.003816108,0.094677169,0.24,1.855411356
Karnataka,Davanagere,2095957,66.7755102,3,0.009521021,0.002790902,0.076717906,0.19,8.057739721
West_Bengal,Darjeeling,2090575,1,0,0.092146883,0.001488517,0.062014541,0.115,0.672996626
Karnataka,Dakshina_Kannada,2278916,16.28571429,3,0.079807448,0.001641867,0.147652387,0.495,1.850107867
West_Bengal,Dakshin_Dinajpur,1849043,0,0,0,0,0,0.495,0
Odisha,Cuttack,2909014,2.551020408,2.857142857,0.090358809,0.001185741,0.375016661,0.45,4.150305488
Tamil_Nadu,Cuddalore,2932641,349.0816327,3.285714286,0.028873604,0.000447434,-0.068090692,0.16,-2.358233243
West_Bengal,Cooch_Behar,3164699,0,0,0,0,0,0.225,0
Andhra_Pradesh,Chittoor,4601128,47.93877551,9.285714286,0.050044922,0.001064786,0.227858823,0.085,4.553085766
Karnataka,Chikkaballapura,1358942,6.12244898,0.142857143,0.034389947,0.000561023,0.009764391,0.495,0.283931544
