State,District,Population,active_infs,new_infs,gamma,gamma_d,beta,delta,repr_ratio
West_Bengal,Jalpaiguri,4353029,102.6326531,5.142857143,0.112872726,0.001429137,0.062783395,0.495,0.556231761
Maharashtra,Jalna,2340859,133.4693878,26.85714286,0.083018533,0.006914929,0.143880803,0.495,1.733116667
Maharashtra,Jalgaon,4791614,1037.306122,143.8571429,0.088111012,0.006466281,0.122381094,0.08,1.38894211
Punjab,Jalandhar,2424458,303.2653061,14,0.074802334,0.002102166,0.110543076,0.46,1.4778025
Odisha,Jajpur,2031329,67.95918367,17.42857143,0.113757314,0.000301419,0.22215726,0.48,1.952905288
Madhya_Pradesh,Jabalpur,2782697,65.75510204,4.714285714,0.095770365,0.00242199,0.105469251,0.275,1.101272307
Madhya_Pradesh,Indore,4232165,959.755102,39,0.047081064,0.00355043,0.051184645,0.185,1.087159909
West_Bengal,Hooghly,5987089,213.4897959,29.28571429,0.103776908,0.002052919,0.0824772,0.495,0.79475484
Karnataka,Haveri,1755246,31.06122449,10.71428571,0.1054539,0.00388821,0.270236789,0.495,2.562605925
Karnataka,Hassan,1827184,95.44897959,18,0.077235201,0.002492847,0.136478795,0.49,1.767054297
Uttarakhand,Haridwar,2404304,154.0408163,1.714285714,0.0426635,0,0.017811182,0.245,0.417480562
Madhya_Pradesh,Gwalior,2475115,57.40816327,12,0.095158394,0.000678268,0.179329509,0.26,1.884536952
Andhra_Pradesh,Guntur,5302318,450.877551,76.42857143,0.046550862,0.001084218,0.119210924,0.16,2.560874698
Uttar_Pradesh,Gorakhpur,5146869,88.3877551,14.28571429,0.077144079,0.00309532,0.113766022,0.495,1.474721379
Uttar_Pradesh,Ghaziabad,6388981,565.0816327,82.71428571,0.077271096,0.005520714,0.158702636,0.175,2.053842168
Bihar,Gaya,5423337,45.51020408,4.428571429,0.082867664,0.002048924,0.090985768,0.13,1.097964683
Uttar_Pradesh,Gautam_Buddha_Nagar,2361277,749.1428571,99,0.098123533,0.001200714,0.128769333,0.32,1.312318556
Odisha,Ganjam,3897162,302.244898,63.14285714,0.137891641,0.002801466,0.211076982,0.295,1.530745307
Karnataka,Gadag,1155573,66.2244898,12,0.062205586,0.003471905,0.213829847,0.34,3.437470193
Haryana,Faridabad,2331927,1366.102041,157.2857143,0.12706338,0.001882168,0.141852708,0.495,1.116393315
Tamil_Nadu,Erode,2486748,26.7755102,12.42857143,0.080674495,0.00199658,0.307809261,0.08,3.815447007
Kerala,Ernakulam,3449887,137.3061224,9.571428571,0.044913836,0.000618067,0.110545136,0.1,2.46127129
Andhra_Pradesh,East_Godavari,5393020,499.6530612,64.14285714,0.036067091,0.000707341,0.161829391,0.495,4.486898918
Bihar,East_Champaran,6432169,20.83673469,7.571428571,0.238439827,0.001961907,0.28631897,0.495,1.200801786
Chhattisgarh,Durg,3910011,47.95918367,8.571428571,0.103586352,0.001645284,0.132646156,0.495,1.280536999
Tamil_Nadu,Dindigul,2397684,126.8163265,20,0.085763161,0.001477896,0.174321479,0.495,2.032591587
Assam,Dibrugarh,1467813,69.85714286,0.714285714,0.0543843,0.000929578,0.072121273,0.38,1.326141421
Karnataka,Dharwad,2096774,122.7346939,23.14285714,0.057377411,0.003100647,0.08948651,0.495,1.559612217
Jharkhand,Dhanbad,2972477,20.65306122,6.571428571,0.037702741,0.001699725,0.176309923,0.495,4.676315778
Uttar_Pradesh,Deoria,3495943,50.89795918,4.571428571,0.063665426,0.000969743,0.135946248,0.465,2.135322986
Delhi,Delhi,19960711,26346.44898,2773.142857,0.104428142,0.002400045,0.104521324,0.495,1.000892305
Uttarakhand,Dehradun,2183252,156.7959184,9.142857143,0.086796881,0.002963978,0.070879256,0.24,0.816610634
Karnataka,Davanagere,2095957,38.59183673,7.142857143,0.140595122,0.009064365,0.181985278,0.19,1.294392543
West_Bengal,Darjeeling,2090575,176.122449,18.85714286,0.092146883,0.001488517,0.146177913,0.115,1.586357655
Karnataka,Dakshina_Kannada,2278916,205.0204082,52.57142857,0.079807448,0.003411909,0.12610961,0.495,1.580173445
