State,District,Population,active_infs,new_infs,gamma,gamma_d,beta,delta,repr_ratio
Maharashtra,Yavatmal,3089185,253.244898,36,0.041426286,0.003757326,0.125480373,0.495,3.029003673
Karnataka,Yadgir,1412778,391.4897959,69,0.107107414,0.002145277,0.197767784,0.49,1.846443459
Andhra_Pradesh,Y.S.R._Kadapa,3160870,1902.326531,544.1428571,0.107095939,0.000625469,0.187643101,0.325,1.752102855
Tripura,West_Tripura,1919859,378.3061224,62.42857143,0.066358532,0.001512024,0.137910101,0.495,2.078257274
Andhra_Pradesh,West_Godavari,4061068,4508.061224,824.1428571,0.109222565,0.000896827,0.215095137,0.495,1.969328747
Bihar,West_Champaran,4958749,364.6938776,56.71428571,0.110398426,0.000661011,0.049685097,0.495,0.450052587
Andhra_Pradesh,Vizianagaram,2433613,1756.346939,257.4285714,0.066374347,0.001818035,0.141394413,0.465,2.130256935
Andhra_Pradesh,Visakhapatnam,4749686,4071.367347,814.8571429,0.036003372,0.001628963,0.242852656,0.495,6.745275283
Tamil_Nadu,Virudhunagar,2131921,2337.44898,381.7142857,0.150444413,0.002259151,0.171898337,0.355,1.142603661
Tamil_Nadu,Viluppuram,3978908,831.7755102,142.5714286,0.109962076,0.001076196,0.140494034,0.3,1.277658978
Karnataka,Vijayapura,2575205,580.0204082,128.8571429,0.111514214,0.002320934,0.139910479,0.495,1.25464256
Tamil_Nadu,Vellore,4401028,1280.591837,175.5714286,0.125537963,0.002384009,0.110370819,0.435,0.879182814
Uttar_Pradesh,Varanasi,4239659,1216.959184,138.2857143,0.039593721,0.001946188,0.109118549,0.165,2.755955908
Bihar,Vaishali,4381971,323.5510204,80.57142857,0.119615361,0.000892418,0.206868395,0.495,1.729446734
Gujarat,Vadodara,4701190,731.0816327,94,0.083460999,0.003048714,0.128120934,0.495,1.535099469
Karnataka,Uttara_Kannada,1516739,758.2040816,86.57142857,0.085540984,0.001459267,0.093049769,0.495,1.087779969
Karnataka,Udupi,1239220,1189.55102,188.4285714,0.07099747,0.001742762,0.152530869,0.495,2.148398662
